Division,GN Division
 Mirigama,9 Purana Meerigama
 Mirigama,7 Hakurukumbura
 Mirigama,8 Mugurugampala
 Mirigama,15 Vilwatta
 Mirigama,15E Thawalampitiya
 Mirigama,14 Bothale Pahalagama
 Mirigama,14D Bothale Pahalagama West
 Mirigama,14C Bothale Medagama
 Mirigama,14F Bothale Pahalagama East
 Mirigama,13B Thalagama East
 Mirigama,13A Thalagama
 Mirigama,13C Balathawa
 Mirigama,13 Makura
 Mirigama,14B Pottekanda
 Mirigama,14A Bothale Iahalagama
 Mirigama,14G Adagalakanda
 Mirigama,16F Ihala Halugama
 Mirigama,16B Kidiwala
 Mirigama,16E Pahala Halugama
 Mirigama,15B Meerigama
 Mirigama,15D Walawwatta
 Mirigama,40C Thilinagama
 Mirigama,40B Vijayarajadahana
 Mirigama,15C Ihala Neligama
 Mirigama,15F Neligama Central
 Mirigama,15A Neligama
 Mirigama,16 Lindara
 Mirigama,16A Halugama
 Mirigama,21C Siyambalagoda
 Mirigama,16D Pahala Lindara
 Mirigama,17 Pohonnaruwa
 Mirigama,40A Indiparape
 Mirigama,39 Kosetadeniya
 Mirigama,38 Imbulanwala
 Mirigama,37 Uduulla
 Mirigama,36 Gaspe
 Mirigama,35 Banduragoda
 Mirigama,34A Keppitiwalana
 Mirigama,36A Gaspe Pahalagama
 Mirigama,32A Galgana
 Mirigama,31B Pelapitigama
 Mirigama,31C Elhena
 Mirigama,40 Ganegoda
 Mirigama,40D Hiriwala
 Mirigama,18A Handurumulla
 Mirigama,19A Pamunuwatta
 Mirigama,16C Ihala Lindara
 Mirigama,21A Arukgoda
 Mirigama,21 Madabavita
 Mirigama,21B Madabavita Ihalagama
 Mirigama,22A Nawgala
 Mirigama,22 Danovita
 Mirigama,20A Weweldeniya Pahalagama
 Mirigama,20B Weweldeniya Pahalagama West
 Mirigama,19 Henepola
 Mirigama,18 Palmada
 Mirigama,"26 Kal /Pallewela, Kotakanda"
 Mirigama,28B Raddelgoda
 Mirigama,31A Ihala Bokalagama
 Mirigama,31 Pahala Bokalagama
 Mirigama,32 Kukulnape
 Mirigama,36B Gaspe South
 Mirigama,34 Muddaragama
 Mirigama,33 Hanchapola
 Mirigama,"33A Hirikuluwa,Ganemulla,Dathgama"
 Mirigama,34B Pathagama
 Mirigama,336B Borukgamuwa West
 Mirigama,336 Borukgamuwa
 Mirigama,29A Pallewela
 Mirigama,30A Weragoda / Kakkele
 Mirigama,28F Hansagiriya
 Mirigama,28D Welavilamulla North
 Mirigama,28A Welavilamulla
 Mirigama,27 Udawela
 Mirigama,25 Hapitigama
 Mirigama,25C Makkanigoda North
 Mirigama,19B Pahalawela
 Mirigama,20D Millawala
 Mirigama,20C Weweldeniya Ihalagama West
 Mirigama,20 Weweldeniya Ihalagama
 Mirigama,23 Kotadeniya
 Mirigama,23A Ilukpatha / Weragoda
 Mirigama,358A Hedidenikanda-Radawadunna
 Mirigama,360 Radawadunna
 Mirigama,25A Bataleeya
 Mirigama,25B Bataleeya South
 Mirigama,28C Bolana
 Mirigama,28 Mallehewa
 Mirigama,28E Wabadamulla
 Mirigama,30 Weragoda
 Mirigama,29 Midellawala
 Mirigama,336A Kendalanda
 Mirigama,336C Nungamuwa
 Mirigama,335 Uthuwambogahawatta
 Mirigama,337B Pahala Maligathenna
 Mirigama,337C Maligathenna Central
 Mirigama,337 Wandurawa
 Mirigama,338A Galgamuwa West
 Mirigama,338 Galgamuwa East
 Mirigama,340 Kumbaloluwa
 Mirigama,340B Ihala Kumbaloluwa
 Mirigama,340A Pahala Kumbaloluwa
 Mirigama,341A Dumunnegedara South
 Mirigama,341 Dumunnegedara - Kalatuwawa
 Mirigama,342 Pasyala
 Mirigama,342B Pasyala West
 Mirigama,24 Muruthawala
 Mirigama,356A Kithanawatta
 Mirigama,360B Kammalpitiya
 Mirigama,360C Radawadunna Central
 Mirigama,360D Imbulgasovita
 Mirigama,360A Pahala Radawadunna
 Mirigama,358 Weerasooriyakanda
 Mirigama,342A Pasyala East
 Mirigama,334A Udugama
 Mirigama,344 Panawala
 Mirigama,340C Delgahamedilla
 Mirigama,339A Mottunna West
 Mirigama,339 Mottunna
 Mirigama,337A Maligathenna
 Mirigama,334 Kureekotuwa
 Mirigama,344A Hakwaduna
 Mirigama,334B Pahala Kureekotuwa
 Mirigama,356 Ellalamulla
 Mirigama,357A Debahera
 Mirigama,357C Mawathahena
 Mirigama,357 Meevitiya
 Mirigama,357B Ketakalapitiya
 Mirigama,359 Dambutuwa
 Minuwangoda,112/3 Medemulla  North
 Minuwangoda,112/4 Nilpanagoda West
 Minuwangoda,112/2 Nilpanagoda East
 Minuwangoda,112/1 Nilpanagoda
 Minuwangoda,105/3 Arangawa
 Minuwangoda,105/1 Horampella North
 Minuwangoda,105/4 Galkanda
 Minuwangoda,105/5 Bodhipihituwala
 Minuwangoda,103 Watinapaha
 Minuwangoda,98/3 Mabodala West
 Minuwangoda,98/1 Mabodala North
 Minuwangoda,98/4 Ihala Vithanamulla
 Minuwangoda,99/3 Nalapaha
 Minuwangoda,98/5 Pahala Vithanamulla
 Minuwangoda,98 Mabodala East
 Minuwangoda,98/2 Mabodala South
 Minuwangoda,103/1 Watinapaha South
 Minuwangoda,103/2 Wankepumulla
 Minuwangoda,103/3 Kamaragoda
 Minuwangoda,105/6 Kudagoda
 Minuwangoda,105 Horampella South
 Minuwangoda,105/2 Mahagama
 Minuwangoda,113 Wegowwa South
 Minuwangoda,125/3 Minuwangoda East
 Minuwangoda,125/2 Minuwangoda North
 Minuwangoda,112 Medemulla South
 Minuwangoda,124 Boragodawatta North
 Minuwangoda,123 Yatiyana
 Minuwangoda,123/1 Peellawatta
 Minuwangoda,122 Unnaruwa
 Minuwangoda,123/4 Yatiyana Central
 Minuwangoda,123/3 Yatiyana East
 Minuwangoda,123/2 Kopiwatta
 Minuwangoda,124/1 Boragodawatta South
 Minuwangoda,125/1 Minuwangoda West
 Minuwangoda,125 Meda Minuwangoda
 Minuwangoda,126/1 Pansilgoda
 Minuwangoda,113/1 Wegowwa East
 Minuwangoda,115 Helakandana
 Minuwangoda,107/1 Peralanda
 Minuwangoda,106 Dewalapola
 Minuwangoda,101 Wadumulla
 Minuwangoda,102/1 Metikotumulla
 Minuwangoda,102 Essella
 Minuwangoda,99/4 Yatagama
 Minuwangoda,99 Naiwala North
 Minuwangoda,99/2 Naiwala East
 Minuwangoda,99/1 Naiwala West
 Minuwangoda,100 Walpitamulla
 Minuwangoda,127 Balabowa
 Minuwangoda,127/1 Balabowa West
 Minuwangoda,108 Pethiyagoda North
 Minuwangoda,109 Gallegedara
 Minuwangoda,107 Ganihimulla
 Minuwangoda,141 Hendimahara
 Minuwangoda,114 Kalawana
 Minuwangoda,126 Wattegedara
 Minuwangoda,126/3 Ambagahawatta
 Minuwangoda,121/1 Galloluwa East
 Minuwangoda,121 Galloluwa
 Minuwangoda,122/1 Kalahugoda
 Minuwangoda,120/1 Polwatta West
 Minuwangoda,120 Polwatta East
 Minuwangoda,118/2 Pattanduwana North
 Minuwangoda,117/2 Ellangala
 Minuwangoda,126/2 Burullapitiya
 Minuwangoda,116 Mathammana
 Minuwangoda,130 Weediyawatta East
 Minuwangoda,131/5 Goigama
 Minuwangoda,131/4 Ihala Udugampola
 Minuwangoda,108/1 Pethiyagoda South
 Minuwangoda,111 Korase
 Minuwangoda,111/1 Korase Meda
 Minuwangoda,129 Marapola
 Minuwangoda,128 Vigoda
 Minuwangoda,110/1 Doranagoda East
 Minuwangoda,111/2 Korase East
 Minuwangoda,110 Doranagoda North
 Minuwangoda,110/2 Doranagoda West
 Minuwangoda,131/1 Pahala Udugampola East
 Minuwangoda,131 Pahala Udugampola North
 Minuwangoda,131/3 Pahala Udugampola West
 Minuwangoda,130/1 Weediyawatta West
 Minuwangoda,117 Welhena
 Minuwangoda,117/1 Weliya
 Minuwangoda,118 Paththaduwana
 Minuwangoda,118/1 Paththaduwana West
 Minuwangoda,119/3 Yagodamulla North
 Minuwangoda,119/2 Yagodamulla
 Minuwangoda,140/3 Uggalboda West
 Minuwangoda,140/2 Uggalboda
 Minuwangoda,140/1 Kehelbaddara West
 Minuwangoda,140 Kehelbaddara East
 Minuwangoda,131/2 Pahala Udugampola South
 Minuwangoda,135 Asgiriwalpola North
 Minuwangoda,132 Dombawela
 Minuwangoda,133/1 Pedipola
 Minuwangoda,110/3 Doranagoda South
 Minuwangoda,133 Wathumulla
 Minuwangoda,134/1 Asgiriya North
 Minuwangoda,134/2 Asgiriya South
 Minuwangoda,134 Asgiriya
 Minuwangoda,134/3 Asgiriya West
 Minuwangoda,135/1 Asgiriwalpola South
 Minuwangoda,135/2 Asgiriwalpola West
 Minuwangoda,137 Madelgamuwa East
 Minuwangoda,137/2 Batapotha
 Minuwangoda,139/1 Nedagamuwa North
 Minuwangoda,139 Nedagamuwa South
 Minuwangoda,139/2 Nedagamuwa West
 Minuwangoda,139/3 Arachchiwatta
 Minuwangoda,119/4 Yagodamulla South
 Minuwangoda,119/6 Samurdhigama
 Minuwangoda,119/5 Opatha
 Minuwangoda,119/1 Kotugoda2
 Minuwangoda,119 Kotugoda1
 Minuwangoda,138/1 Maduruwita
 Minuwangoda,138 Siyambalapitiya
 Minuwangoda,137/1 Madelgamuwa West
 Minuwangoda,136/1 Thammita West
 Minuwangoda,136 Thammita
 Wattala,164 Pamunugama
 Wattala,164A Maha Pamunugama
 Wattala,193 West of Delathura
 Wattala,193A East of Delathura
 Wattala,165A Bopitiyathuduwa
 Wattala,165 Bopitiya
 Wattala,165B Pulluhena
 Wattala,167A Paranambalama
 Wattala,166 Nugape
 Wattala,166A Kunjawaththa
 Wattala,182A Magulpokuna
 Wattala,182B Elehiwaththa
 Wattala,182 Welisara
 Wattala,167B Pattiyawala
 Wattala,167 Uswetakeiyawa
 Wattala,178 Mahabage
 Wattala,179 Elapitiwala
 Wattala,180A Horapethuduwa
 Wattala,180 Horape
 Wattala,250 North of Kurukualawa
 Wattala,250A South of Kurukulawa
 Wattala,254 Heenkenda
 Wattala,254A Thuduwegedara
 Wattala,177B Galudupita
 Wattala,177 Maththumagala
 Wattala,177A Kernga Pokuna
 Wattala,171 Kerawalapitiya
 Wattala,171A Matagoda
 Wattala,171B Balagala
 Wattala,168B Dikovita
 Wattala,168A Palliyawatta North
 Wattala,170A Elakanda
 Wattala,172B North of Nayaka Kanda
 Wattala,176A Mabola
 Wattala,176C Welikadamulla
 Wattala,176 Wattala
 Wattala,172A Hendala North
 Wattala,172 Hendala South
 Wattala,172C Nayak Kanda South
 Wattala,170 Thimbirigasyaya
 Wattala,168 Palliyawatta South
 Wattala,169A Kurunduhena
 Wattala,175A Evariwatta
 Wattala,175 Thelagapatha
 Wattala,176B Galwetiya
 Wattala,169 Hekiththa
 Ja-Ela,205B Mahawatta
 Ja-Ela,194 Dandugama
 Ja-Ela,194B Dehiyagatha North
 Ja-Ela,196 Kudahakapola North
 Ja-Ela,205A Gallawatta
 Ja-Ela,206 Ekala
 Ja-Ela,194A Dehiyagatha South
 Ja-Ela,195 Kudahakapola South
 Ja-Ela,205 Ekala Kurunduwatta
 Ja-Ela,206B Vishaka Watta
 Ja-Ela,192B Thudella North
 Ja-Ela,192 Thudella West
 Ja-Ela,192A Thudella South
 Ja-Ela,191 Kanuwana
 Ja-Ela,206A Alexendrawatta
 Ja-Ela,211B Bandigoda
 Ja-Ela,207A Yakkaduwa
 Ja-Ela,207 Niwandama North
 Ja-Ela,207B Niwandama South
 Ja-Ela,211 Batagama North
 Ja-Ela,190B Maeliya
 Ja-Ela,191A Ja-Ela
 Ja-Ela,190A Weligampitiya North
 Ja-Ela,190E Indipitiya
 Ja-Ela,189 Wewala
 Ja-Ela,190 Weligampitiya South
 Ja-Ela,190D Thumpeliya
 Ja-Ela,211A Indiminna
 Ja-Ela,185D Dolahena
 Ja-Ela,185A Hapugoda West
 Ja-Ela,190C Kapuwatta
 Ja-Ela,188 Kalaeliya
 Ja-Ela,187 Nedurupitiya
 Ja-Ela,186 Rilavulla
 Ja-Ela,184C Kandana East
 Ja-Ela,184 Kandana West
 Ja-Ela,184B Uswatta
 Ja-Ela,185C Hapugoda Central
 Ja-Ela,185 Batagama South
 Ja-Ela,212A Polpitimookalana
 Ja-Ela,213 Batuwatta West
 Ja-Ela,213A Batuwatta East
 Ja-Ela,212B Walpola East
 Ja-Ela,181A Jayasrigama
 Ja-Ela,185B Hapugoda East
 Ja-Ela,183 Nagoda
 Ja-Ela,184A Jayasamarugama
 Ja-Ela,181D Peralanda
 Ja-Ela,181E Podiveekumbura
 Ja-Ela,212 Walpola West
 Ja-Ela,214 Narangodapaluwa West
 Ja-Ela,214A Narangodapaluwa East
 Ja-Ela,181B Thewatta
 Ja-Ela,181 Ragama
